,Taste Preferences,Do you have diabetes?,BMI,Recommended Package,FoodType.Egg,FoodType.NonVegetarian,FoodType.Seafood,FoodType.Vegan,FoodType.Vegetarian,Allergies.Corn,Allergies.Eggs,Allergies.Fish,Allergies.Gelatin,Allergies.Groundnut,Allergies.Peanuts,Allergies.Soy,Allergies.Wheat,Allergies.Milk,Allergies.None,Allergies.Prawns,Likes.Chinese,Likes.Lebanese,Likes.Maharashtrian,Likes.Punjabi,Likes.Western,Likes.None,Likes.Thai
0,Spicy,No,22.857142857142897,Maharashtrian-Nor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
1,Medium-Spicy,No,18.5185185185185,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,Medium-Spicy,No,19.1000918273646,Maharashtrian-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,Medium-Spicy,No,24.816326530612198,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4,Spicy,No,35.379812695109294,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,Spicy,No,19.1000918273646,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6,Bland,No,25.4200146092038,Maharashtrian-Vegetarian,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Bland,No,17.0068027210884,BMI-High,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8,Medium-Spicy,No,21.6049382716049,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9,Spicy,No,26.346494034401,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10,Bland,No,21.3333333333333,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
11,Spicy,No,27.180899908172602,BMI-Low,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
12,Medium-Spicy,No,21.3333333333333,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
13,Medium-Spicy,No,27.458654210327,BMI-Low,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,Spicy,No,26.575379487410498,BMI-Low,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,None,No,21.7777777777778,Lebenese-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16,Medium-Spicy,No,24.973985431841804,BMI-Low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
17,Medium-Spicy,No,25.201261148650197,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
18,Medium-Spicy,No,24.515595463138,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19,Medium-Spicy,No,23.9912128569777,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,Spicy,No,16.1353938828929,BMI-High,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
21,Spicy,No,20.3402366863905,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
22,Medium-Spicy,No,22.8774057021934,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
23,Spicy,No,24.2214532871972,Maharashtrian-Nor,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24,Bland,No,27.660095935016304,BMI-Low,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,Medium-Spicy,No,23.3066800530675,Thai-Veg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
26,None,No,26.2595847484332,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
27,Medium-Spicy,No,21.6788067984738,Punjabi-Vegetarian,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
28,Medium-Spicy,Yes,25.195263290501398,Diabetes,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,Medium-Spicy,No,24.3865264441396,Punjabi-Vegetarian,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,Spicy,No,18.2898948331047,BMI-High,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
31,Spicy,No,21.484375,Western Nor,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,Medium-Spicy,No,20.0,Punjabi-Normal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
33,Medium-Spicy,No,24.1516725033209,Punjabi-Vegetarian,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
34,Medium-Spicy,No,27.0551508844953,BMI-High,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35,Spicy,No,19.0311418685121,BMI-Low,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
36,Medium-Spicy,No,20.2020202020202,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0
37,Spicy,No,19.607156612163397,Punjabi-Vegetarian,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
38,Medium-Spicy,No,22.857142857142897,Punjabi-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39,Medium-Spicy,No,21.928862769176803,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
40,Medium-Spicy,No,17.674536043428898,BMI-Low,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,Spicy,No,19.777698666983103,BMI-High,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
42,Spicy,No,23.6202879121581,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
43,Spicy,No,22.4913494809689,Chinese-Vegan,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
44,Medium-Spicy,No,28.2880946638703,BMI-High,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
45,Medium-Spicy,No,19.721036967980197,Maharashtrian-Vegetarian,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
46,Medium-Spicy,No,28.1336565096953,BMI-High,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
47,Medium-Spicy,Yes,22.5215080401784,Diabetes,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
48,Medium-Spicy,No,27.0408163265306,BMI-Low,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,Medium-Spicy,No,29.384756657483898,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
50,Bland,Yes,21.9478737997257,Diabetes,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
51,Medium-Spicy,No,23.301094832264,Chinese-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
52,Medium-Spicy,No,21.09375,Chinese-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
53,Bland,No,22.9853975121687,Lebenese-Vegeterain,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
54,Medium-Spicy,No,19.369834710743802,Maharashtrian-Vegetarian,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
55,Spicy,No,20.7612456747405,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
56,Medium-Spicy,No,20.703125,Punjabi-Normal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
57,Medium-Spicy,No,24.6097337006428,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
58,Medium-Spicy,No,19.511111111111102,Maharashtrian-Nor,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
59,Spicy,No,17.578125,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
60,Medium-Spicy,No,21.8775510204082,Chinese-Vegetarian,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
61,Medium-Spicy,No,18.0785123966942,Maharashtrian-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
62,Spicy,No,22.375679950619197,Chinese-Vegetarian,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
63,Bland,No,17.1618469654173,BMI-High,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
64,Medium-Spicy,No,23.9994591671174,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
65,Medium-Spicy,No,19.5918367346939,Chinese-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
66,Medium-Spicy,No,24.3232286833926,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
67,Medium-Spicy,No,23.111111111111104,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
68,None,No,27.2763340607022,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
69,Medium-Spicy,No,24.6097337006428,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
70,Spicy,No,18.6666666666667,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
71,Medium-Spicy,No,21.5450907971684,Chinese-Normal,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,Spicy,No,14.239943040227802,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
73,Medium-Spicy,No,18.359375,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
74,Medium-Spicy,No,17.993079584775103,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75,Medium-Spicy,No,22.4913494809689,Punjabi-Normal,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
76,None,No,27.7777777777778,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
77,Medium-Spicy,No,25.0,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
78,Medium-Spicy,No,25.631167499679602,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
79,Medium-Spicy,No,29.387755102040803,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
80,Medium-Spicy,No,26.234567901234602,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
81,Medium-Spicy,No,17.9012345679012,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
82,Medium-Spicy,No,21.6128117913832,Punjabi-Normal,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
83,Medium-Spicy,No,16.003657978966597,BMI-High,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
84,Spicy,No,17.7999288002848,BMI-High,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
85,Spicy,No,27.5802003193497,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1
86,Medium-Spicy,No,24.772096710265604,Punjabi-Normal,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
87,Medium-Spicy,No,31.8772882211842,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
88,None,No,27.681660899654002,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
89,Medium-Spicy,No,23.458562375267,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
90,Medium-Spicy,No,28.3446712018141,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
91,Medium-Spicy,No,20.286507911738102,Chinese-Normal,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92,Spicy,No,16.796875,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
93,Medium-Spicy,No,27.0551508844953,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
94,Spicy,No,24.314123965742503,Maharashtrian-Nor,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,Medium-Spicy,No,24.755464315903897,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0
96,Medium-Spicy,No,17.674536043428898,BMI-High,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,Medium-Spicy,No,20.7612456747405,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
98,Medium-Spicy,No,18.8271604938272,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
99,Medium-Spicy,No,38.4,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
100,Medium-Spicy,No,20.9366391184573,Thai-Veg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
101,Medium-Spicy,No,18.0802103879027,Chinese-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
102,Medium-Spicy,No,29.384756657483898,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
103,Medium-Spicy,No,18.3057694735513,Punjabi-Normal,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
104,Medium-Spicy,No,18.3654729109275,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
105,Medium-Spicy,No,22.4913494809689,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
106,Medium-Spicy,No,18.3391003460208,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
107,Medium-Spicy,No,23.3843537414966,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
108,Medium-Spicy,No,20.6758034026465,Chinese-Vegetarian,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
109,Medium-Spicy,No,24.4560634171024,Chinese-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
110,Medium-Spicy,No,22.3435155925819,Punjabi-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
111,Medium-Spicy,No,25.529644871208703,Maharashtrian-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
112,Medium-Spicy,No,16.796875,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
113,Medium-Spicy,No,24.5968233871952,Maharashtrian-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
114,Medium-Spicy,No,21.0961905148282,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
115,Medium-Spicy,No,23.7332384003797,Western-Veg,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
116,None,No,22.136739730004397,Thai-Veg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
117,Spicy,No,23.3066800530675,Maharashtrian-Vegetarian,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
118,Medium-Spicy,No,23.111111111111104,Maharashtrian-Nor,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
119,None,No,30.385015608740897,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
120,Spicy,No,17.5696511169278,BMI-High,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
121,Medium-Spicy,No,19.0311418685121,Punjabi-Vegetarian,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
122,Medium-Spicy,No,21.928862769176803,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
123,Medium-Spicy,No,20.4491374182034,Punjabi-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
124,Spicy,No,27.513384889946497,BMI-Low,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
125,Spicy,No,20.177148524332303,Maharashtrian-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
126,Medium-Spicy,No,19.53125,Punjabi-Vegetarian,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
127,Medium-Spicy,No,20.8307031940412,Chinese-Vegan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
128,Medium-Spicy,No,23.291229956105,Maharashtrian-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
129,Medium-Spicy,No,19.840664204389398,Punjabi-Normal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
130,Medium-Spicy,No,20.7612456747405,Thai-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
