,Taste Preferences,Do you have diabetes?,BMI,Recommended Package,FoodType.Egg,FoodType.NonVegetarian,FoodType.Seafood,FoodType.Vegan,FoodType.Vegetarian,Allergies.Corn,Allergies.Eggs,Allergies.Fish,Allergies.Gelatin,Allergies.Groundnut,Allergies.Peanuts,Allergies.Soy,Allergies.Wheat,Allergies.Milk,Allergies.None,Allergies.Prawns,Likes.Chinese,Likes.Lebanese,Likes.Maharashtrian,Likes.Punjabi,Likes.Western,Likes.None,Likes.Thai
131,Spicy,No,28.571428571428598,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
132,Spicy,No,16.6493236212279,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
133,Spicy,No,17.0940170940171,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
134,Spicy,No,17.0940170940171,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
135,None,No,22.0710778793748,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
136,Medium-Spicy,No,22.857142857142897,Chinese-Normal,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0
137,Spicy,No,21.484375,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
138,Medium-Spicy,No,26.9896193771626,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
139,Medium-Spicy,No,14.5328719723183,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
140,Spicy,No,26.2222222222222,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
141,Medium-Spicy,Yes,23.309053069719,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
142,None,No,25.6745191658033,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
143,Medium-Spicy,No,23.0,Punjabi-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
144,Spicy,No,32.2493953238377,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
145,Medium-Spicy,No,19.4330132601738,Punjabi-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
146,Spicy,No,19.834710743801697,Maharashtrian-Nor,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
147,Spicy,No,24.9770431588613,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
148,Spicy,No,27.3099681383705,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
149,Spicy,No,22.9719382009819,Thai-Veg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
150,Medium-Spicy,No,19.6051919956733,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
151,Medium-Spicy,No,18.3654729109275,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
152,Medium-Spicy,No,23.9590942293645,Thai-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
153,Medium-Spicy,No,25.390625,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
154,Medium-Spicy,No,24.005486968449897,Maharashtrian-Vegetarian,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
155,Spicy,No,24.382372978593697,Maharashtrian-Vegetarian,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
156,Medium-Spicy,No,20.0,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
157,Spicy,No,30.629250934642602,BMI-Low,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
158,Medium-Spicy,No,22.2222222222222,Punjabi-Vegetarian,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
159,Medium-Spicy,No,23.9389897746315,Chinese-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
160,Medium-Spicy,No,24.8590735618501,Thai-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
161,Medium-Spicy,No,19.1989603024575,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
162,Medium-Spicy,No,30.3193310186317,BMI-Low,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
163,Bland,No,27.7777777777778,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
164,Spicy,No,24.8015873015873,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
165,Medium-Spicy,No,29.7842710068777,BMI-Low,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
166,Spicy,No,33.673469387755105,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
167,Medium-Spicy,No,19.486961451247197,Chinese-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
168,Spicy,No,21.224489795918398,Maharashtrian-Vegetarian,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
169,Bland,No,31.1950948402596,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
170,Spicy,No,25.7370814149675,Chinese-Normal,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
171,Medium-Spicy,No,19.789970953429698,Western-Veg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
172,Medium-Spicy,No,20.0,Western-Veg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
173,Spicy,No,22.0243225126879,Maharashtrian-Vegetarian,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
174,Medium-Spicy,Yes,23.7386621315193,Punjabi-Vegan,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
175,Medium-Spicy,No,31.179138321995502,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
176,Medium-Spicy,No,26.953125,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
177,Bland,No,26.2222222222222,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
178,Medium-Spicy,No,27.3909185602407,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
179,Bland,No,27.757487216946696,BMI-Low,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
180,Medium-Spicy,No,26.8135904499541,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
181,Bland,No,20.371208691715697,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
182,Bland,No,29.296875,BMI-Low,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
183,Medium-Spicy,No,21.484375,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
184,Medium-Spicy,No,23.9512265931195,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
185,Bland,No,23.4375,Chinese-Vegan,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
186,Spicy,No,22.662708672476,Maharashtrian-Nor,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
187,Medium-Spicy,No,23.8754325259516,Punjabi-Vegan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
188,Bland,No,17.578125,BMI-High,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
189,Bland,No,17.674536043428898,BMI-High,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
190,Medium-Spicy,No,26.7094017094017,BMI-Low,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
191,Spicy,No,24.382372978593697,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
192,Medium-Spicy,No,22.4058769513315,Chinese-Vegetarian,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
193,Spicy,No,20.8611196607503,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
194,Medium-Spicy,No,21.484375,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
195,Medium-Spicy,No,23.9512265931195,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
196,Medium-Spicy,No,24.023808670085,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
197,Medium-Spicy,No,24.2214532871972,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
198,Spicy,No,16.4365548980934,BMI-High,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
199,Medium-Spicy,No,24.9307479224377,Chinese-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
200,Bland,Yes,29.1748849441157,BMI-Low,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
201,Medium-Spicy,No,21.049817902368897,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
202,Spicy,No,18.974531961544898,Chinese-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
203,Spicy,No,18.974531961544898,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
204,Medium-Spicy,No,24.6913580246914,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
205,Bland,Yes,20.7756232686981,Lebenese-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
206,Spicy,No,16.9753086419753,BMI-High,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
207,Medium-Spicy,No,24.5008382868465,Punjabi-Normal,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
208,Spicy,No,23.6652443615762,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
209,Medium-Spicy,No,24.2214532871972,Western Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
210,Medium-Spicy,No,24.092970521542,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
211,Medium-Spicy,No,24.8356464572681,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
212,Bland,No,23.9512265931195,Lebenese-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
213,Medium-Spicy,No,34.8087496538903,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
214,Medium-Spicy,No,24.535123966942102,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
215,Medium-Spicy,No,20.444274295745,Punjabi-Vegetarian,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
216,Medium-Spicy,No,24.3374797187669,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
217,Medium-Spicy,No,23.7953599048186,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
218,Medium-Spicy,No,23.711844630960897,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
219,Spicy,No,25.5102040816327,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
220,Bland,No,24.023808670085,Lebenese-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
221,Medium-Spicy,No,27.636054421768698,BMI-Low,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
222,Spicy,No,24.357191571526,Maharashtrian-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
223,Medium-Spicy,No,23.4375,Chinese-Normal,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
224,Medium-Spicy,Yes,35.250761095978206,BMI-Low,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
225,Medium-Spicy,No,24.7245200085467,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
226,Medium-Spicy,No,24.5778671518401,Thai-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
227,Spicy,No,24.784257517393797,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
228,Medium-Spicy,No,24.755464315903897,Thai-Nor,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
229,Medium-Spicy,Yes,24.879178701135302,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
230,Medium-Spicy,No,24.5778671518401,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
231,Medium-Spicy,No,24.023808670085,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
232,Medium-Spicy,No,24.092970521542,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
233,Medium-Spicy,No,24.447278911564602,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
234,Medium-Spicy,No,19.0311418685121,Western Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
235,Medium-Spicy,Yes,24.2809753428405,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
236,Medium-Spicy,No,31.572071418202896,BMI-Low,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
237,Bland,No,29.752744434184898,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
238,Medium-Spicy,No,26.609712545079002,Western Nor,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
239,Medium-Spicy,No,20.3222528668892,Maharashtrian-Vegetarian,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
240,Medium-Spicy,No,21.2760001119789,Western Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
241,Medium-Spicy,No,22.0195029883611,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
242,Medium-Spicy,No,24.6913580246914,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
243,Medium-Spicy,No,23.711844630960897,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
244,Spicy,No,21.2191358024691,Lebenese-Vegeterain,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
245,Medium-Spicy,No,18.218322427126697,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
246,Spicy,No,23.148148148148103,Punjabi-Normal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
247,Medium-Spicy,No,17.3010380622837,BMI-High,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
248,Medium-Spicy,No,27.34375,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
249,Medium-Spicy,No,28.6989795918367,BMI-Low,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
250,Spicy,No,21.6049382716049,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
251,Medium-Spicy,No,24.2809753428405,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
252,Medium-Spicy,No,21.6721101309484,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
253,Medium-Spicy,No,28.719723183391,BMI-Low,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
254,Medium-Spicy,No,22.136739730004397,Punjabi-Normal,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
255,Bland,No,23.533042706685702,Lebenese-Nor,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
256,Medium-Spicy,No,24.2809753428405,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
257,Medium-Spicy,No,22.3674400245603,Punjabi-Vegetarian,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
258,Spicy,No,38.6502562977989,BMI-Low,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1
259,Spicy,No,22.769438353853896,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
260,Medium-Spicy,No,24.2809753428405,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
261,Medium-Spicy,No,21.6721101309484,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
262,Medium-Spicy,No,27.180899908172602,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
263,Medium-Spicy,No,23.163373273470803,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
264,Spicy,No,22.9176097781802,Maharashtrian-Nor,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
265,Spicy,No,19.259982638888896,Maharashtrian-Nor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
266,Medium-Spicy,No,30.8112461048283,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
